#    L    TT             EE             TE          
   389    0.17481E+04    0.21419E+02    0.13109E+02
   390    0.17409E+04    0.21425E+02    0.11155E+02
   391    0.17341E+04    0.21427E+02    0.92057E+01
   392    0.17277E+04    0.21426E+02    0.72627E+01
   393    0.17219E+04    0.21420E+02    0.53259E+01
   394    0.17164E+04    0.21410E+02    0.33975E+01
   395    0.17112E+04    0.21396E+02    0.14760E+01
   396    0.17066E+04    0.21378E+02   -0.43489E+00
   397    0.17023E+04    0.21356E+02   -0.23365E+01
   398    0.16986E+04    0.21329E+02   -0.42275E+01
   399    0.16952E+04    0.21299E+02   -0.61070E+01
   400    0.16921E+04    0.21265E+02   -0.79739E+01
   401    0.16895E+04    0.21226E+02   -0.98277E+01
   402    0.16874E+04    0.21183E+02   -0.11668E+02
   403    0.16856E+04    0.21137E+02   -0.13493E+02
   404    0.16842E+04    0.21086E+02   -0.15302E+02
   405    0.16832E+04    0.21031E+02   -0.17096E+02
   406    0.16826E+04    0.20974E+02   -0.18872E+02
   407    0.16823E+04    0.20911E+02   -0.20633E+02
   408    0.16825E+04    0.20845E+02   -0.22373E+02
   409    0.16830E+04    0.20776E+02   -0.24096E+02
   410    0.16839E+04    0.20702E+02   -0.25799E+02
   411    0.16852E+04    0.20625E+02   -0.27482E+02
   412    0.16868E+04    0.20544E+02   -0.29144E+02
   413    0.16888E+04    0.20459E+02   -0.30785E+02
   414    0.16910E+04    0.20371E+02   -0.32405E+02
   415    0.16937E+04    0.20280E+02   -0.34000E+02
   416    0.16967E+04    0.20185E+02   -0.35574E+02
   417    0.16999E+04    0.20087E+02   -0.37124E+02
   418    0.17036E+04    0.19983E+02   -0.38649E+02
   419    0.17075E+04    0.19878E+02   -0.40148E+02
   420    0.17118E+04    0.19770E+02   -0.41623E+02
   421    0.17164E+04    0.19658E+02   -0.43071E+02
   422    0.17214E+04    0.19543E+02   -0.44494E+02
   423    0.17265E+04    0.19424E+02   -0.45888E+02
   424    0.17319E+04    0.19302E+02   -0.47256E+02
   425    0.17376E+04    0.19177E+02   -0.48594E+02
   426    0.17437E+04    0.19049E+02   -0.49904E+02
   427    0.17499E+04    0.18919E+02   -0.51186E+02
   428    0.17565E+04    0.18785E+02   -0.52437E+02
   429    0.17632E+04    0.18649E+02   -0.53658E+02
   430    0.17703E+04    0.18510E+02   -0.54849E+02
   431    0.17776E+04    0.18368E+02   -0.56009E+02
   432    0.17850E+04    0.18224E+02   -0.57138E+02
   433    0.17928E+04    0.18078E+02   -0.58234E+02
   434    0.18007E+04    0.17929E+02   -0.59300E+02
   435    0.18089E+04    0.17778E+02   -0.60333E+02
   436    0.18172E+04    0.17625E+02   -0.61333E+02
   437    0.18258E+04    0.17469E+02   -0.62300E+02
   438    0.18346E+04    0.17312E+02   -0.63232E+02
   439    0.18436E+04    0.17153E+02   -0.64132E+02
   440    0.18527E+04    0.16991E+02   -0.64997E+02
   441    0.18620E+04    0.16828E+02   -0.65829E+02
   442    0.18714E+04    0.16662E+02   -0.66626E+02
   443    0.18810E+04    0.16496E+02   -0.67388E+02
   444    0.18908E+04    0.16328E+02   -0.68114E+02
   445    0.19007E+04    0.16157E+02   -0.68805E+02
   446    0.19106E+04    0.15986E+02   -0.69459E+02
   447    0.19207E+04    0.15815E+02   -0.70079E+02
