#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   132   0.378187E+04  -0.401232E+02   0.249384E-03  -0.401232E+02   0.101413E+01  -0.894361E-06   0.249384E-03  -0.894361E-06   0.700525E-07
   133   0.381635E+04  -0.405371E+02   0.246757E-03  -0.405371E+02   0.101853E+01  -0.881937E-06   0.246757E-03  -0.881937E-06   0.695836E-07
   134   0.385083E+04  -0.409338E+02   0.244177E-03  -0.409338E+02   0.102254E+01  -0.868325E-06   0.244177E-03  -0.868325E-06   0.691188E-07
   135   0.388529E+04  -0.413163E+02   0.241644E-03  -0.413163E+02   0.102607E+01  -0.853689E-06   0.241644E-03  -0.853689E-06   0.686580E-07
   136   0.391959E+04  -0.416809E+02   0.239155E-03  -0.416809E+02   0.102915E+01  -0.838192E-06   0.239155E-03  -0.838192E-06   0.682014E-07
   137   0.395389E+04  -0.420299E+02   0.236710E-03  -0.420299E+02   0.103182E+01  -0.821999E-06   0.236710E-03  -0.821999E-06   0.677488E-07
   138   0.398810E+04  -0.423619E+02   0.234308E-03  -0.423619E+02   0.103402E+01  -0.805275E-06   0.234308E-03  -0.805275E-06   0.673002E-07
   139   0.402208E+04  -0.426760E+02   0.231947E-03  -0.426760E+02   0.103590E+01  -0.788183E-06   0.231947E-03  -0.788183E-06   0.668556E-07
   140   0.405613E+04  -0.429732E+02   0.229627E-03  -0.429732E+02   0.103723E+01  -0.770888E-06   0.229627E-03  -0.770888E-06   0.664149E-07
   141   0.408996E+04  -0.432512E+02   0.227345E-03  -0.432512E+02   0.103808E+01  -0.753553E-06   0.227345E-03  -0.753553E-06   0.659782E-07
   142   0.412379E+04  -0.435108E+02   0.225101E-03  -0.435108E+02   0.103853E+01  -0.736344E-06   0.225101E-03  -0.736344E-06   0.655453E-07
   143   0.415754E+04  -0.437521E+02   0.222894E-03  -0.437521E+02   0.103857E+01  -0.719424E-06   0.222894E-03  -0.719424E-06   0.651163E-07
   144   0.419106E+04  -0.439742E+02   0.220723E-03  -0.439742E+02   0.103814E+01  -0.702958E-06   0.220723E-03  -0.702958E-06   0.646910E-07
   145   0.422445E+04  -0.441765E+02   0.218586E-03  -0.441765E+02   0.103737E+01  -0.687109E-06   0.218586E-03  -0.687109E-06   0.642696E-07
   146   0.425791E+04  -0.443591E+02   0.216482E-03  -0.443591E+02   0.103604E+01  -0.672042E-06   0.216482E-03  -0.672042E-06   0.638519E-07
   147   0.429100E+04  -0.445204E+02   0.214409E-03  -0.445204E+02   0.103437E+01  -0.657922E-06   0.214409E-03  -0.657922E-06   0.634380E-07
   148   0.432396E+04  -0.446621E+02   0.212368E-03  -0.446621E+02   0.103222E+01  -0.644912E-06   0.212368E-03  -0.644912E-06   0.630277E-07
   149   0.435685E+04  -0.447826E+02   0.210356E-03  -0.447826E+02   0.102965E+01  -0.633176E-06   0.210356E-03  -0.633176E-06   0.626211E-07
   150   0.438945E+04  -0.448798E+02   0.208373E-03  -0.448798E+02   0.102675E+01  -0.622880E-06   0.208373E-03  -0.622880E-06   0.622181E-07
   151   0.442191E+04  -0.449567E+02   0.206417E-03  -0.449567E+02   0.102342E+01  -0.614142E-06   0.206417E-03  -0.614142E-06   0.618187E-07
