#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.783841E-02   0.162055E+08   0.161959E+08  -0.420787E+04   0.858249E+04   0.114137E+08   0.161812E+08   0.162039E+08   0.161812E+08  -0.365231E+00   0.791818E+07   0.791754E+07   0.273227E+02
   0.865869E-02   0.157708E+08   0.157601E+08  -0.330315E+04   0.723820E+04   0.106991E+08   0.157450E+08   0.157690E+08   0.157450E+08  -0.355386E+00   0.770505E+07   0.770442E+07   0.245280E+02
   0.956480E-02   0.153047E+08   0.152925E+08  -0.390589E+04   0.515167E+04   0.996987E+07   0.152774E+08   0.153026E+08   0.152774E+08  -0.344831E+00   0.747654E+07   0.747591E+07   0.220606E+02
   0.105657E-01   0.148064E+08   0.147924E+08  -0.186853E+04   0.454363E+04   0.922822E+07   0.147776E+08   0.148040E+08   0.147776E+08  -0.333550E+00   0.723230E+07   0.723167E+07   0.198559E+02
   0.116714E-01   0.142751E+08   0.142591E+08  -0.248900E+04   0.354853E+04   0.848210E+07   0.142450E+08   0.142724E+08   0.142450E+08  -0.321527E+00   0.697197E+07   0.697134E+07   0.179032E+02
   0.128928E-01   0.137103E+08   0.136921E+08  -0.162582E+04   0.275645E+04   0.773984E+07   0.136790E+08   0.137072E+08   0.136790E+08  -0.308752E+00   0.669530E+07   0.669468E+07   0.161683E+02
   0.142420E-01   0.131118E+08   0.130910E+08  -0.155126E+04   0.223690E+04   0.700500E+07   0.130794E+08   0.131083E+08   0.130794E+08  -0.295219E+00   0.640219E+07   0.640157E+07   0.146309E+02
   0.157324E-01   0.124798E+08   0.124560E+08  -0.121230E+04   0.164315E+04   0.628358E+07   0.124465E+08   0.124758E+08   0.124465E+08  -0.280933E+00   0.609273E+07   0.609210E+07   0.132626E+02
   0.173788E-01   0.118349E+08   0.118078E+08  -0.911465E+03   0.136628E+04   0.559382E+07   0.118009E+08   0.118304E+08   0.118009E+08  -0.266360E+00   0.577701E+07   0.577639E+07   0.120532E+02
   0.191974E-01   0.111429E+08   0.111123E+08  -0.861615E+03   0.107361E+04   0.492261E+07   0.111084E+08   0.111378E+08   0.111084E+08  -0.250730E+00   0.543834E+07   0.543771E+07   0.109507E+02
   0.212064E-01   0.104240E+08   0.103896E+08  -0.615035E+03   0.782762E+03   0.428586E+07   0.103892E+08   0.104182E+08   0.103892E+08  -0.234497E+00   0.508656E+07   0.508593E+07   0.994219E+01
   0.234256E-01   0.967015E+07   0.963212E+07  -0.450455E+03   0.535314E+03   0.368402E+07   0.963546E+07   0.966376E+07   0.963546E+07  -0.217484E+00   0.471782E+07   0.471719E+07   0.899518E+01
   0.258770E-01   0.891396E+07   0.887251E+07  -0.355791E+03   0.391691E+03   0.313298E+07   0.887967E+07   0.890700E+07   0.887967E+07  -0.200425E+00   0.434803E+07   0.434740E+07   0.809666E+01
   0.285850E-01   0.816444E+07   0.812017E+07  -0.292127E+03   0.356780E+03   0.263574E+07   0.813088E+07   0.815701E+07   0.813088E+07  -0.183524E+00   0.398162E+07   0.398100E+07   0.722330E+01
   0.315764E-01   0.741448E+07   0.736839E+07  -0.195167E+03   0.454089E+03   0.218882E+07   0.738205E+07   0.740674E+07   0.738205E+07  -0.166622E+00   0.361513E+07   0.361453E+07   0.634699E+01
   0.348808E-01   0.670052E+07   0.665405E+07  -0.165508E+03   0.336255E+03   0.180088E+07   0.666956E+07   0.669272E+07   0.666956E+07  -0.150540E+00   0.326640E+07   0.326583E+07   0.546520E+01
   0.385309E-01   0.603738E+07   0.599238E+07  -0.112262E+03   0.248269E+03   0.147088E+07   0.600825E+07   0.602982E+07   0.600825E+07  -0.135614E+00   0.294268E+07   0.294215E+07   0.457667E+01
   0.425631E-01   0.544339E+07   0.540196E+07  -0.854471E+02   0.183436E+03   0.119701E+07   0.541637E+07   0.543643E+07   0.541637E+07  -0.122254E+00   0.265293E+07   0.265246E+07   0.369700E+01
   0.468194E-01   0.495061E+07   0.491449E+07  -0.791258E+02   0.137883E+03   0.982998E+06   0.492580E+07   0.494454E+07   0.492580E+07  -0.111181E+00   0.241276E+07   0.241235E+07   0.289235E+01
   0.510758E-01   0.456649E+07   0.453643E+07  -0.565095E+02   0.106883E+03   0.823319E+06   0.454376E+07   0.456145E+07   0.454376E+07  -0.102558E+00   0.222571E+07   0.222537E+07   0.222470E+01
   0.553321E-01   0.426055E+07   0.423643E+07  -0.298793E+02   0.849838E+02   0.700972E+06   0.423967E+07   0.425650E+07   0.423967E+07  -0.956945E-01   0.207683E+07   0.207655E+07   0.169808E+01
   0.595884E-01   0.400460E+07   0.398562E+07  -0.329706E+02   0.688855E+02   0.603931E+06   0.398534E+07   0.400142E+07   0.398534E+07  -0.899539E-01   0.195230E+07   0.195206E+07   0.130741E+01
   0.638447E-01   0.377568E+07   0.376054E+07  -0.259275E+02   0.565835E+02   0.524029E+06   0.375776E+07   0.377313E+07   0.375776E+07  -0.848172E-01   0.184086E+07   0.184066E+07   0.103859E+01
   0.681010E-01   0.355762E+07   0.354486E+07  -0.193890E+02   0.468628E+02   0.456058E+06   0.354081E+07   0.355548E+07   0.354081E+07  -0.799204E-01   0.173462E+07   0.173445E+07   0.870453E+00
   0.723573E-01   0.334738E+07   0.333557E+07  -0.848654E+01   0.390589E+02   0.397655E+06   0.333144E+07   0.334539E+07   0.333144E+07  -0.751947E-01   0.163209E+07   0.163192E+07   0.778911E+00
   0.766136E-01   0.313121E+07   0.311923E+07  -0.578789E+01   0.325881E+02   0.345748E+06   0.311603E+07   0.312920E+07   0.311603E+07  -0.703326E-01   0.152659E+07   0.152642E+07   0.735839E+00
   0.808700E-01   0.291704E+07   0.290414E+07  -0.217939E+01   0.272447E+02   0.300223E+06   0.290250E+07   0.291487E+07   0.290250E+07  -0.655129E-01   0.142201E+07   0.142183E+07   0.718683E+00
   0.851263E-01   0.271052E+07   0.269643E+07  -0.330911E+01   0.228446E+02   0.260695E+06   0.269657E+07   0.270815E+07   0.269657E+07  -0.608649E-01   0.132114E+07   0.132096E+07   0.708347E+00
   0.893826E-01   0.251835E+07   0.250322E+07   0.224497E+01   0.192490E+02   0.226895E+06   0.250497E+07   0.251581E+07   0.250497E+07  -0.565403E-01   0.122729E+07   0.122711E+07   0.691529E+00
   0.957249E-01   0.227078E+07   0.225498E+07  -0.421663E+01   0.151306E+02   0.186388E+06   0.225828E+07   0.226813E+07   0.225828E+07  -0.509721E-01   0.110645E+07   0.110627E+07   0.640314E+00
   0.102067E+00   0.207773E+07   0.206268E+07  -0.210692E+01   0.121766E+02   0.156086E+06   0.206612E+07   0.207520E+07   0.206612E+07  -0.466349E-01   0.101232E+07   0.101215E+07   0.557302E+00
   0.108410E+00   0.193573E+07   0.192264E+07  -0.825074E+00   0.100567E+02   0.133653E+06   0.192502E+07   0.193353E+07   0.192502E+07  -0.434500E-01   0.943198E+06   0.943049E+06   0.457079E+00
   0.114752E+00   0.183044E+07   0.181986E+07  -0.142978E+01   0.848891E+01   0.116597E+06   0.182056E+07   0.182867E+07   0.182056E+07  -0.410923E-01   0.892028E+06   0.891904E+06   0.360035E+00
   0.121094E+00   0.174306E+07   0.173477E+07  -0.188009E+01   0.726034E+01   0.102780E+06   0.173392E+07   0.174167E+07   0.173392E+07  -0.391366E-01   0.849581E+06   0.849478E+06   0.282844E+00
   0.127437E+00   0.165735E+07   0.165057E+07  -0.456228E+00   0.623397E+01   0.907382E+05   0.164880E+07   0.165621E+07   0.164880E+07  -0.372155E-01   0.807883E+06   0.807794E+06   0.233196E+00
   0.133779E+00   0.156434E+07   0.155813E+07  -0.184981E+01   0.533954E+01   0.797413E+05   0.155628E+07   0.156330E+07   0.155628E+07  -0.351271E-01   0.762555E+06   0.762471E+06   0.209218E+00
   0.140121E+00   0.146361E+07   0.145716E+07  -0.261805E+01   0.455337E+01   0.696389E+05   0.145593E+07   0.146253E+07   0.145593E+07  -0.328622E-01   0.713395E+06   0.713310E+06   0.202380E+00
   0.146464E+00   0.136114E+07   0.135409E+07  -0.104545E+01   0.387529E+01   0.605947E+05   0.135381E+07   0.135996E+07   0.135381E+07  -0.305571E-01   0.663362E+06   0.663273E+06   0.201936E+00
   0.152806E+00   0.126544E+07   0.125786E+07   0.289378E+00   0.330950E+01   0.528267E+05   0.125844E+07   0.126417E+07   0.125844E+07  -0.284044E-01   0.616635E+06   0.616544E+06   0.198966E+00
   0.159148E+00   0.118353E+07   0.117580E+07  -0.609171E+00   0.285322E+01   0.464305E+05   0.117685E+07   0.118223E+07   0.117685E+07  -0.265630E-01   0.576664E+06   0.576574E+06   0.188742E+00
   0.165491E+00   0.111835E+07   0.111098E+07  -0.715781E+00   0.249337E+01   0.413144E+05   0.111202E+07   0.111711E+07   0.111202E+07  -0.250996E-01   0.544898E+06   0.544813E+06   0.171083E+00
   0.171833E+00   0.106824E+07   0.106163E+07  -0.607648E+00   0.220924E+01   0.372326E+05   0.106226E+07   0.106713E+07   0.106226E+07  -0.239764E-01   0.520516E+06   0.520439E+06   0.149106E+00
   0.178175E+00   0.102820E+07   0.102250E+07  -0.982773E+00   0.197796E+01   0.338709E+05   0.102254E+07   0.102724E+07   0.102254E+07  -0.230801E-01   0.501058E+06   0.500990E+06   0.127198E+00
