#    L    TT             EE             BB             TE             PP             TP             EP          
   165   0.473337E+04   0.914925E+00   0.000000E+00  -0.418993E+02   0.618442E-07   0.195248E-03  -0.696378E-06
   166   0.476131E+04   0.905342E+00   0.000000E+00  -0.415403E+02   0.614773E-07   0.193494E-03  -0.693912E-06
   167   0.478902E+04   0.895404E+00   0.000000E+00  -0.411565E+02   0.611136E-07   0.191761E-03  -0.691236E-06
   168   0.481628E+04   0.885484E+00   0.000000E+00  -0.407457E+02   0.607531E-07   0.190049E-03  -0.688285E-06
   169   0.484323E+04   0.875282E+00   0.000000E+00  -0.403077E+02   0.603958E-07   0.188358E-03  -0.684995E-06
   170   0.486987E+04   0.865022E+00   0.000000E+00  -0.398442E+02   0.600416E-07   0.186687E-03  -0.681302E-06
   171   0.489606E+04   0.854704E+00   0.000000E+00  -0.393528E+02   0.596905E-07   0.185035E-03  -0.677142E-06
   172   0.492186E+04   0.844253E+00   0.000000E+00  -0.388351E+02   0.593425E-07   0.183403E-03  -0.672451E-06
   173   0.494721E+04   0.833669E+00   0.000000E+00  -0.382910E+02   0.589976E-07   0.181788E-03  -0.667164E-06
   174   0.497224E+04   0.823248E+00   0.000000E+00  -0.377206E+02   0.586557E-07   0.180191E-03  -0.661218E-06
   175   0.499689E+04   0.812693E+00   0.000000E+00  -0.371230E+02   0.583168E-07   0.178612E-03  -0.654549E-06
   176   0.502101E+04   0.802226E+00   0.000000E+00  -0.364984E+02   0.579809E-07   0.177050E-03  -0.647109E-06
   177   0.504474E+04   0.791773E+00   0.000000E+00  -0.358481E+02   0.576480E-07   0.175504E-03  -0.638916E-06
   178   0.506802E+04   0.781555E+00   0.000000E+00  -0.351707E+02   0.573180E-07   0.173974E-03  -0.630007E-06
   179   0.509083E+04   0.771275E+00   0.000000E+00  -0.344662E+02   0.569909E-07   0.172460E-03  -0.620416E-06
   180   0.511334E+04   0.761154E+00   0.000000E+00  -0.337360E+02   0.566667E-07   0.170962E-03  -0.610177E-06
   181   0.513532E+04   0.751193E+00   0.000000E+00  -0.329803E+02   0.563453E-07   0.169479E-03  -0.599328E-06
   182   0.515684E+04   0.741463E+00   0.000000E+00  -0.321975E+02   0.560267E-07   0.168012E-03  -0.587901E-06
   183   0.517784E+04   0.731891E+00   0.000000E+00  -0.313891E+02   0.557109E-07   0.166559E-03  -0.575933E-06
   184   0.519845E+04   0.722550E+00   0.000000E+00  -0.305543E+02   0.553979E-07   0.165121E-03  -0.563459E-06
   185   0.521862E+04   0.713587E+00   0.000000E+00  -0.296954E+02   0.550875E-07   0.163697E-03  -0.550514E-06
   186   0.523796E+04   0.704861E+00   0.000000E+00  -0.288094E+02   0.547799E-07   0.162287E-03  -0.537133E-06
   187   0.525715E+04   0.696511E+00   0.000000E+00  -0.278978E+02   0.544749E-07   0.160891E-03  -0.523351E-06
   188   0.527581E+04   0.688523E+00   0.000000E+00  -0.269622E+02   0.541726E-07   0.159509E-03  -0.509202E-06
   189   0.529388E+04   0.680933E+00   0.000000E+00  -0.260009E+02   0.538728E-07   0.158139E-03  -0.494723E-06
   190   0.531180E+04   0.673791E+00   0.000000E+00  -0.250163E+02   0.535757E-07   0.156783E-03  -0.479949E-06
   191   0.532882E+04   0.667120E+00   0.000000E+00  -0.240054E+02   0.532810E-07   0.155439E-03  -0.464913E-06
   192   0.534547E+04   0.660940E+00   0.000000E+00  -0.229704E+02   0.529889E-07   0.154107E-03  -0.449652E-06
   193   0.536153E+04   0.655297E+00   0.000000E+00  -0.219128E+02   0.526993E-07   0.152787E-03  -0.434200E-06
   194   0.537722E+04   0.650217E+00   0.000000E+00  -0.208303E+02   0.524121E-07   0.151479E-03  -0.418593E-06
   195   0.539232E+04   0.645739E+00   0.000000E+00  -0.197253E+02   0.521274E-07   0.150183E-03  -0.402865E-06
   196   0.540683E+04   0.641897E+00   0.000000E+00  -0.185969E+02   0.518450E-07   0.148898E-03  -0.387052E-06
   197   0.542089E+04   0.638737E+00   0.000000E+00  -0.174467E+02   0.515650E-07   0.147624E-03  -0.371189E-06
   198   0.543444E+04   0.636279E+00   0.000000E+00  -0.162739E+02   0.512874E-07   0.146361E-03  -0.355310E-06
   199   0.544748E+04   0.634560E+00   0.000000E+00  -0.150793E+02   0.510120E-07   0.145108E-03  -0.339451E-06
   200   0.546000E+04   0.633609E+00   0.000000E+00  -0.138635E+02   0.507390E-07   0.143865E-03  -0.323646E-06
   201   0.547194E+04   0.633484E+00   0.000000E+00  -0.126260E+02   0.504681E-07   0.142632E-03  -0.307925E-06
   202   0.548336E+04   0.634192E+00   0.000000E+00  -0.113681E+02   0.501996E-07   0.141408E-03  -0.292294E-06
   203   0.549420E+04   0.635791E+00   0.000000E+00  -0.100891E+02   0.499332E-07   0.140195E-03  -0.276751E-06
   204   0.550438E+04   0.638303E+00   0.000000E+00  -0.879192E+01   0.496690E-07   0.138991E-03  -0.261296E-06
   205   0.551404E+04   0.641772E+00   0.000000E+00  -0.747437E+01   0.494070E-07   0.137797E-03  -0.245929E-06
   206   0.552304E+04   0.646234E+00   0.000000E+00  -0.613769E+01   0.491472E-07   0.136613E-03  -0.230650E-06
   207   0.553153E+04   0.651709E+00   0.000000E+00  -0.478232E+01   0.488895E-07   0.135438E-03  -0.215457E-06
   208   0.553928E+04   0.658250E+00   0.000000E+00  -0.340875E+01   0.486339E-07   0.134273E-03  -0.200351E-06
   209   0.554645E+04   0.665877E+00   0.000000E+00  -0.201736E+01   0.483804E-07   0.133117E-03  -0.185331E-06
   210   0.555302E+04   0.674642E+00   0.000000E+00  -0.609027E+00   0.481289E-07   0.131971E-03  -0.170396E-06
