#    L    TT             EE             BB             TE             PP             TP             EP          
   128   0.365827E+04   0.993627E+00   0.000000E+00  -0.384125E+02   0.112360E-06  -0.795509E-03  -0.108684E-05
   129   0.369271E+04   0.999583E+00   0.000000E+00  -0.388778E+02   0.111475E-06  -0.781799E-03  -0.107981E-05
   130   0.372715E+04   0.100508E+01   0.000000E+00  -0.393295E+02   0.110599E-06  -0.768394E-03  -0.107095E-05
   131   0.376158E+04   0.101025E+01   0.000000E+00  -0.397689E+02   0.109734E-06  -0.755285E-03  -0.106024E-05
   132   0.379607E+04   0.101496E+01   0.000000E+00  -0.401932E+02   0.108878E-06  -0.742463E-03  -0.104784E-05
   133   0.383048E+04   0.101928E+01   0.000000E+00  -0.406046E+02   0.108032E-06  -0.729923E-03  -0.103393E-05
   134   0.386488E+04   0.102321E+01   0.000000E+00  -0.409988E+02   0.107196E-06  -0.717658E-03  -0.101867E-05
   135   0.389927E+04   0.102666E+01   0.000000E+00  -0.413786E+02   0.106369E-06  -0.705660E-03  -0.100225E-05
   136   0.393351E+04   0.102965E+01   0.000000E+00  -0.417405E+02   0.105551E-06  -0.693925E-03  -0.984841E-06
   137   0.396775E+04   0.103223E+01   0.000000E+00  -0.420866E+02   0.104742E-06  -0.682444E-03  -0.966629E-06
   138   0.400191E+04   0.103435E+01   0.000000E+00  -0.424156E+02   0.103943E-06  -0.671212E-03  -0.947789E-06
   139   0.403585E+04   0.103613E+01   0.000000E+00  -0.427267E+02   0.103153E-06  -0.660222E-03  -0.928499E-06
   140   0.406986E+04   0.103737E+01   0.000000E+00  -0.430207E+02   0.102371E-06  -0.649468E-03  -0.908935E-06
   141   0.410365E+04   0.103813E+01   0.000000E+00  -0.432955E+02   0.101598E-06  -0.638942E-03  -0.889276E-06
   142   0.413744E+04   0.103848E+01   0.000000E+00  -0.435517E+02   0.100833E-06  -0.628639E-03  -0.869699E-06
   143   0.417116E+04   0.103843E+01   0.000000E+00  -0.437894E+02   0.100077E-06  -0.618552E-03  -0.850383E-06
   144   0.420467E+04   0.103790E+01   0.000000E+00  -0.440080E+02   0.993296E-07  -0.608675E-03  -0.831503E-06
   145   0.423803E+04   0.103703E+01   0.000000E+00  -0.442066E+02   0.985900E-07  -0.599000E-03  -0.813239E-06
   146   0.427147E+04   0.103560E+01   0.000000E+00  -0.443854E+02   0.978585E-07  -0.589522E-03  -0.795767E-06
   147   0.430455E+04   0.103384E+01   0.000000E+00  -0.445429E+02   0.971348E-07  -0.580234E-03  -0.779265E-06
   148   0.433750E+04   0.103159E+01   0.000000E+00  -0.446806E+02   0.964190E-07  -0.571129E-03  -0.763910E-06
   149   0.437038E+04   0.102892E+01   0.000000E+00  -0.447971E+02   0.957108E-07  -0.562201E-03  -0.749879E-06
   150   0.440297E+04   0.102592E+01   0.000000E+00  -0.448901E+02   0.950102E-07  -0.553444E-03  -0.737351E-06
   151   0.443543E+04   0.102249E+01   0.000000E+00  -0.449626E+02   0.943170E-07  -0.544851E-03  -0.726454E-06
   152   0.446761E+04   0.101857E+01   0.000000E+00  -0.450132E+02   0.936311E-07  -0.536420E-03  -0.717132E-06
   153   0.449965E+04   0.101430E+01   0.000000E+00  -0.450397E+02   0.929524E-07  -0.528149E-03  -0.709282E-06
   154   0.453148E+04   0.100968E+01   0.000000E+00  -0.450440E+02   0.922810E-07  -0.520034E-03  -0.702799E-06
   155   0.456311E+04   0.100470E+01   0.000000E+00  -0.450257E+02   0.916166E-07  -0.512074E-03  -0.697580E-06
   156   0.459438E+04   0.999367E+00   0.000000E+00  -0.449845E+02   0.909592E-07  -0.504266E-03  -0.693521E-06
   157   0.462560E+04   0.993667E+00   0.000000E+00  -0.449189E+02   0.903088E-07  -0.496609E-03  -0.690519E-06
   158   0.465653E+04   0.987676E+00   0.000000E+00  -0.448298E+02   0.896652E-07  -0.489099E-03  -0.688468E-06
   159   0.468719E+04   0.981240E+00   0.000000E+00  -0.447170E+02   0.890284E-07  -0.481735E-03  -0.687268E-06
   160   0.471764E+04   0.974507E+00   0.000000E+00  -0.445790E+02   0.883982E-07  -0.474513E-03  -0.686812E-06
   161   0.474788E+04   0.967546E+00   0.000000E+00  -0.444173E+02   0.877747E-07  -0.467432E-03  -0.686998E-06
   162   0.477785E+04   0.960206E+00   0.000000E+00  -0.442319E+02   0.871577E-07  -0.460490E-03  -0.687723E-06
   163   0.480769E+04   0.952557E+00   0.000000E+00  -0.440213E+02   0.865472E-07  -0.453684E-03  -0.688883E-06
   164   0.483710E+04   0.944671E+00   0.000000E+00  -0.437868E+02   0.859430E-07  -0.447011E-03  -0.690374E-06
   165   0.486639E+04   0.936470E+00   0.000000E+00  -0.435263E+02   0.853451E-07  -0.440470E-03  -0.692092E-06
   166   0.489540E+04   0.928099E+00   0.000000E+00  -0.432411E+02   0.847535E-07  -0.434058E-03  -0.693936E-06
   167   0.492421E+04   0.919332E+00   0.000000E+00  -0.429321E+02   0.841679E-07  -0.427773E-03  -0.695800E-06
   168   0.495260E+04   0.910537E+00   0.000000E+00  -0.425970E+02   0.835885E-07  -0.421613E-03  -0.697582E-06
   169   0.498071E+04   0.901414E+00   0.000000E+00  -0.422356E+02   0.830150E-07  -0.415575E-03  -0.699178E-06
   170   0.500855E+04   0.892182E+00   0.000000E+00  -0.418495E+02   0.824474E-07  -0.409656E-03  -0.700485E-06
   171   0.503596E+04   0.882838E+00   0.000000E+00  -0.414365E+02   0.818857E-07  -0.403856E-03  -0.701399E-06
   172   0.506303E+04   0.873304E+00   0.000000E+00  -0.409979E+02   0.813297E-07  -0.398170E-03  -0.701818E-06
   173   0.508968E+04   0.863577E+00   0.000000E+00  -0.405338E+02   0.807793E-07  -0.392598E-03  -0.701638E-06
   174   0.511605E+04   0.853951E+00   0.000000E+00  -0.400440E+02   0.802346E-07  -0.387136E-03  -0.700755E-06
   175   0.514209E+04   0.844125E+00   0.000000E+00  -0.395279E+02   0.796953E-07  -0.381783E-03  -0.699067E-06
   176   0.516762E+04   0.834319E+00   0.000000E+00  -0.389854E+02   0.791615E-07  -0.376535E-03  -0.696493E-06
   177   0.519282E+04   0.824453E+00   0.000000E+00  -0.384180E+02   0.786331E-07  -0.371392E-03  -0.693044E-06
