#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   107   0.293730E+04  -0.264858E+02   0.342414E-03  -0.264858E+02   0.788252E+00  -0.638129E-06   0.342414E-03  -0.638129E-06   0.817801E-07
   108   0.297003E+04  -0.271110E+02   0.338396E-03  -0.271110E+02   0.800819E+00  -0.664624E-06   0.338396E-03  -0.664624E-06   0.812091E-07
   109   0.300291E+04  -0.277335E+02   0.334443E-03  -0.277335E+02   0.813137E+00  -0.690314E-06   0.334443E-03  -0.690314E-06   0.806425E-07
   110   0.303586E+04  -0.283520E+02   0.330549E-03  -0.283520E+02   0.825208E+00  -0.714982E-06   0.330549E-03  -0.714982E-06   0.800803E-07
   111   0.306897E+04  -0.289682E+02   0.326711E-03  -0.289682E+02   0.837107E+00  -0.738444E-06   0.326711E-03  -0.738444E-06   0.795227E-07
   112   0.310223E+04  -0.295811E+02   0.322928E-03  -0.295811E+02   0.848760E+00  -0.760636E-06   0.322928E-03  -0.760636E-06   0.789696E-07
   113   0.313571E+04  -0.301894E+02   0.319201E-03  -0.301894E+02   0.860169E+00  -0.781526E-06   0.319201E-03  -0.781526E-06   0.784209E-07
   114   0.316927E+04  -0.307924E+02   0.315529E-03  -0.307924E+02   0.871258E+00  -0.801081E-06   0.315529E-03  -0.801081E-06   0.778767E-07
   115   0.320305E+04  -0.313899E+02   0.311911E-03  -0.313899E+02   0.882176E+00  -0.819268E-06   0.311911E-03  -0.819268E-06   0.773370E-07
   116   0.323683E+04  -0.319812E+02   0.308348E-03  -0.319812E+02   0.892702E+00  -0.836055E-06   0.308348E-03  -0.836055E-06   0.768016E-07
   117   0.327091E+04  -0.325656E+02   0.304840E-03  -0.325656E+02   0.902909E+00  -0.851408E-06   0.304840E-03  -0.851408E-06   0.762708E-07
   118   0.330513E+04  -0.331439E+02   0.301386E-03  -0.331439E+02   0.912946E+00  -0.865296E-06   0.301386E-03  -0.865296E-06   0.757443E-07
   119   0.333934E+04  -0.337138E+02   0.297985E-03  -0.337138E+02   0.922665E+00  -0.877686E-06   0.297985E-03  -0.877686E-06   0.752221E-07
   120   0.337371E+04  -0.342752E+02   0.294639E-03  -0.342752E+02   0.931917E+00  -0.888544E-06   0.294639E-03  -0.888544E-06   0.747044E-07
   121   0.340806E+04  -0.348282E+02   0.291346E-03  -0.348282E+02   0.941001E+00  -0.897839E-06   0.291346E-03  -0.897839E-06   0.741910E-07
   122   0.344248E+04  -0.353720E+02   0.288106E-03  -0.353720E+02   0.949618E+00  -0.905536E-06   0.288106E-03  -0.905536E-06   0.736820E-07
   123   0.347697E+04  -0.359067E+02   0.284920E-03  -0.359067E+02   0.957844E+00  -0.911605E-06   0.284920E-03  -0.911605E-06   0.731773E-07
   124   0.351152E+04  -0.364292E+02   0.281787E-03  -0.364292E+02   0.965753E+00  -0.916011E-06   0.281787E-03  -0.916011E-06   0.726769E-07
   125   0.354607E+04  -0.369418E+02   0.278706E-03  -0.369418E+02   0.973271E+00  -0.918722E-06   0.278706E-03  -0.918722E-06   0.721808E-07
   126   0.358067E+04  -0.374436E+02   0.275678E-03  -0.374436E+02   0.980472E+00  -0.919706E-06   0.275678E-03  -0.919706E-06   0.716890E-07
   127   0.361527E+04  -0.379341E+02   0.272703E-03  -0.379341E+02   0.987209E+00  -0.918930E-06   0.272703E-03  -0.918930E-06   0.712014E-07
