#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.809305E-01   0.294415E+07   0.293123E+07   0.104931E+02  -0.151628E+02   0.000000E+00   0.294198E+07   0.294198E+07   0.294198E+07  -0.660898E-01   0.143522E+07   0.143505E+07   0.722255E+00
   0.851900E-01   0.273630E+07   0.272219E+07   0.879989E+01  -0.127169E+02   0.000000E+00   0.273394E+07   0.273394E+07   0.273394E+07  -0.614162E-01   0.133373E+07   0.133355E+07   0.711524E+00
   0.894495E-01   0.254279E+07   0.252763E+07   0.741591E+01  -0.107176E+02   0.000000E+00   0.254025E+07   0.254025E+07   0.254025E+07  -0.570652E-01   0.123924E+07   0.123906E+07   0.694183E+00
   0.957781E-01   0.229252E+07   0.227670E+07   0.583038E+01  -0.842675E+01   0.000000E+00   0.228986E+07   0.228986E+07   0.228986E+07  -0.514404E-01   0.111710E+07   0.111691E+07   0.642172E+00
   0.102107E+00   0.209714E+07   0.208209E+07   0.469258E+01  -0.678235E+01   0.000000E+00   0.209462E+07   0.209462E+07   0.209462E+07  -0.470543E-01   0.102185E+07   0.102168E+07   0.558668E+00
   0.108435E+00   0.195535E+07   0.194226E+07   0.387996E+01  -0.560755E+01   0.000000E+00   0.195315E+07   0.195315E+07   0.195315E+07  -0.438764E-01   0.952834E+06   0.952685E+06   0.458439E+00
   0.114764E+00   0.185006E+07   0.183947E+07   0.327807E+01  -0.473726E+01   0.000000E+00   0.184828E+07   0.184828E+07   0.184828E+07  -0.415206E-01   0.901672E+06   0.901548E+06   0.361510E+00
   0.121093E+00   0.176126E+07   0.175296E+07   0.280370E+01  -0.405139E+01   0.000000E+00   0.175986E+07   0.175986E+07   0.175986E+07  -0.395343E-01   0.858534E+06   0.858431E+06   0.284304E+00
   0.127422E+00   0.167465E+07   0.166787E+07   0.240797E+01  -0.347938E+01   0.000000E+00   0.167351E+07   0.167351E+07   0.167351E+07  -0.375945E-01   0.816408E+06   0.816319E+06   0.234591E+00
   0.133750E+00   0.158131E+07   0.157508E+07   0.206370E+01  -0.298193E+01   0.000000E+00   0.158026E+07   0.158026E+07   0.158026E+07  -0.354996E-01   0.770916E+06   0.770831E+06   0.210504E+00
   0.140079E+00   0.147954E+07   0.147309E+07   0.176017E+01  -0.254346E+01   0.000000E+00   0.147845E+07   0.147845E+07   0.147845E+07  -0.332126E-01   0.721251E+06   0.721165E+06   0.203484E+00
   0.146408E+00   0.137599E+07   0.136894E+07   0.149825E+01  -0.216513E+01   0.000000E+00   0.137481E+07   0.137481E+07   0.137481E+07  -0.308842E-01   0.670689E+06   0.670600E+06   0.202900E+00
   0.152736E+00   0.127980E+07   0.127221E+07   0.128019E+01  -0.185012E+01   0.000000E+00   0.127853E+07   0.127853E+07   0.127853E+07  -0.287213E-01   0.623721E+06   0.623629E+06   0.199906E+00
   0.159065E+00   0.119719E+07   0.118946E+07   0.110403E+01  -0.159559E+01   0.000000E+00   0.119589E+07   0.119589E+07   0.119589E+07  -0.268650E-01   0.583409E+06   0.583319E+06   0.189710E+00
