#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   105   0.279404E+04  -0.257297E+02   0.363260E-03  -0.257297E+02   0.800306E+00  -0.707043E-06   0.363260E-03  -0.707043E-06   0.907413E-07
   106   0.282572E+04  -0.263605E+02   0.359002E-03  -0.263605E+02   0.813304E+00  -0.669761E-06   0.359002E-03  -0.669761E-06   0.901365E-07
   107   0.285732E+04  -0.269882E+02   0.354820E-03  -0.269882E+02   0.826011E+00  -0.634850E-06   0.354820E-03  -0.634850E-06   0.895358E-07
   108   0.288929E+04  -0.276136E+02   0.350710E-03  -0.276136E+02   0.838502E+00  -0.603282E-06   0.350710E-03  -0.603282E-06   0.889394E-07
   109   0.292141E+04  -0.282355E+02   0.346667E-03  -0.282355E+02   0.850704E+00  -0.576032E-06   0.346667E-03  -0.576032E-06   0.883474E-07
   110   0.295361E+04  -0.288521E+02   0.342688E-03  -0.288521E+02   0.862617E+00  -0.554074E-06   0.342688E-03  -0.554074E-06   0.877597E-07
   111   0.298596E+04  -0.294652E+02   0.338768E-03  -0.294652E+02   0.874316E+00  -0.538143E-06   0.338768E-03  -0.538143E-06   0.871764E-07
   112   0.301846E+04  -0.300739E+02   0.334907E-03  -0.300739E+02   0.885727E+00  -0.528016E-06   0.334907E-03  -0.528016E-06   0.865975E-07
   113   0.305118E+04  -0.306767E+02   0.331103E-03  -0.306767E+02   0.896852E+00  -0.523233E-06   0.331103E-03  -0.523233E-06   0.860230E-07
   114   0.308398E+04  -0.312729E+02   0.327356E-03  -0.312729E+02   0.907615E+00  -0.523330E-06   0.327356E-03  -0.523330E-06   0.854528E-07
   115   0.311700E+04  -0.318625E+02   0.323665E-03  -0.318625E+02   0.918166E+00  -0.527847E-06   0.323665E-03  -0.527847E-06   0.848871E-07
   116   0.315002E+04  -0.324446E+02   0.320029E-03  -0.324446E+02   0.928281E+00  -0.536322E-06   0.320029E-03  -0.536322E-06   0.843257E-07
   117   0.318334E+04  -0.330186E+02   0.316449E-03  -0.330186E+02   0.938037E+00  -0.548294E-06   0.316449E-03  -0.548294E-06   0.837687E-07
   118   0.321680E+04  -0.335851E+02   0.312923E-03  -0.335851E+02   0.947581E+00  -0.563301E-06   0.312923E-03  -0.563301E-06   0.832160E-07
   119   0.325025E+04  -0.341420E+02   0.309450E-03  -0.341420E+02   0.956766E+00  -0.580881E-06   0.309450E-03  -0.580881E-06   0.826677E-07
   120   0.328385E+04  -0.346891E+02   0.306030E-03  -0.346891E+02   0.965442E+00  -0.600573E-06   0.306030E-03  -0.600573E-06   0.821237E-07
   121   0.331743E+04  -0.352265E+02   0.302662E-03  -0.352265E+02   0.973909E+00  -0.621915E-06   0.302662E-03  -0.621915E-06   0.815841E-07
   122   0.335109E+04  -0.357535E+02   0.299345E-03  -0.357535E+02   0.981868E+00  -0.644446E-06   0.299345E-03  -0.644446E-06   0.810488E-07
   123   0.338480E+04  -0.362699E+02   0.296080E-03  -0.362699E+02   0.989394E+00  -0.667704E-06   0.296080E-03  -0.667704E-06   0.805177E-07
   124   0.341858E+04  -0.367728E+02   0.292864E-03  -0.367728E+02   0.996562E+00  -0.691228E-06   0.292864E-03  -0.691228E-06   0.799910E-07
   125   0.345235E+04  -0.372645E+02   0.289698E-03  -0.372645E+02   0.100330E+01  -0.714555E-06   0.289698E-03  -0.714555E-06   0.794686E-07
   126   0.348618E+04  -0.377441E+02   0.286581E-03  -0.377441E+02   0.100968E+01  -0.737226E-06   0.286581E-03  -0.737226E-06   0.789505E-07
   127   0.351999E+04  -0.382109E+02   0.283511E-03  -0.382109E+02   0.101555E+01  -0.758777E-06   0.283511E-03  -0.758777E-06   0.784367E-07
   128   0.355379E+04  -0.386642E+02   0.280489E-03  -0.386642E+02   0.102107E+01  -0.778747E-06   0.280489E-03  -0.778747E-06   0.779271E-07
   129   0.358764E+04  -0.391031E+02   0.277514E-03  -0.391031E+02   0.102608E+01  -0.796675E-06   0.277514E-03  -0.796675E-06   0.774218E-07
   130   0.362147E+04  -0.395269E+02   0.274585E-03  -0.395269E+02   0.103059E+01  -0.812100E-06   0.274585E-03  -0.812100E-06   0.769208E-07
   131   0.365529E+04  -0.399372E+02   0.271701E-03  -0.399372E+02   0.103474E+01  -0.824667E-06   0.271701E-03  -0.824667E-06   0.764240E-07
   132   0.368916E+04  -0.403309E+02   0.268861E-03  -0.403309E+02   0.103839E+01  -0.834459E-06   0.268861E-03  -0.834459E-06   0.759314E-07
   133   0.372294E+04  -0.407103E+02   0.266066E-03  -0.407103E+02   0.104160E+01  -0.841663E-06   0.266066E-03  -0.841663E-06   0.754430E-07
   134   0.375670E+04  -0.410710E+02   0.263313E-03  -0.410710E+02   0.104439E+01  -0.846470E-06   0.263313E-03  -0.846470E-06   0.749588E-07
   135   0.379045E+04  -0.414161E+02   0.260603E-03  -0.414161E+02   0.104668E+01  -0.849069E-06   0.260603E-03  -0.849069E-06   0.744787E-07
   136   0.382403E+04  -0.417417E+02   0.257934E-03  -0.417417E+02   0.104846E+01  -0.849648E-06   0.257934E-03  -0.849648E-06   0.740027E-07
   137   0.385760E+04  -0.420503E+02   0.255306E-03  -0.420503E+02   0.104982E+01  -0.848398E-06   0.255306E-03  -0.848398E-06   0.735308E-07
   138   0.389109E+04  -0.423403E+02   0.252718E-03  -0.423403E+02   0.105067E+01  -0.845507E-06   0.252718E-03  -0.845507E-06   0.730629E-07
   139   0.392435E+04  -0.426111E+02   0.250169E-03  -0.426111E+02   0.105117E+01  -0.841165E-06   0.250169E-03  -0.841165E-06   0.725990E-07
   140   0.395767E+04  -0.428634E+02   0.247658E-03  -0.428634E+02   0.105109E+01  -0.835562E-06   0.247658E-03  -0.835562E-06   0.721391E-07
   141   0.399075E+04  -0.430950E+02   0.245185E-03  -0.430950E+02   0.105052E+01  -0.828885E-06   0.245185E-03  -0.828885E-06   0.716831E-07
   142   0.402384E+04  -0.433067E+02   0.242749E-03  -0.433067E+02   0.104951E+01  -0.821325E-06   0.242749E-03  -0.821325E-06   0.712310E-07
   143   0.405684E+04  -0.434986E+02   0.240349E-03  -0.434986E+02   0.104809E+01  -0.813070E-06   0.240349E-03  -0.813070E-06   0.707828E-07
   144   0.408962E+04  -0.436699E+02   0.237984E-03  -0.436699E+02   0.104616E+01  -0.804311E-06   0.237984E-03  -0.804311E-06   0.703384E-07
   145   0.412225E+04  -0.438200E+02   0.235654E-03  -0.438200E+02   0.104388E+01  -0.795236E-06   0.235654E-03  -0.795236E-06   0.698979E-07
